seed,opinion_state_avg,run_mode,final_kalman_err
1,0.3545543818253357,pure,5.250148138859642e-06
1,0.3545543818253357,pure,5.250148138859642e-06
2,0.47309171076842105,pure,1.0594046809127896e-05
2,0.47309171076842105,pure,1.0594046809127896e-05
3,0.32606520351712565,pure,1.5313643333460604e-05
3,0.32606520351712565,pure,1.5313643333460604e-05
4,0.2343472862861169,pure,1.3902811108614686e-05
4,0.2343472862861169,pure,1.3902811108614686e-05
5,0.5022404794335955,pure,3.3467524035637975e-06
5,0.5022404794335955,pure,3.3467524035637975e-06
6,0.7296878568776141,pure,7.263286843009435e-06
6,0.7296878568776141,pure,7.263286843009435e-06
7,0.3534677054209823,pure,2.2455166813735084e-05
7,0.3534677054209823,pure,2.2455166813735084e-05
8,0.4312291679256755,pure,1.0810728169014845e-05
8,0.4312291679256755,pure,1.0810728169014845e-05
9,0.6858133114834106,pure,2.662689635680988e-06
9,0.6858133114834106,pure,2.662689635680988e-06
10,0.7247699270676193,pure,8.91117202430181e-06
10,0.7247699270676193,pure,8.91117202430181e-06
11,0.13487673594962274,pure,8.413350821490255e-06
11,0.13487673594962274,pure,8.413350821490255e-06
12,0.5056874673540296,pure,1.0009605313083706e-05
12,0.5056874673540296,pure,1.0009605313083706e-05
13,0.26431162226789506,pure,1.5622458451183612e-05
13,0.26431162226789506,pure,1.5622458451183612e-05
14,0.7057630677042286,pure,8.63689031971227e-06
14,0.7057630677042286,pure,8.63689031971227e-06
15,0.10786375917516688,pure,8.42411213799068e-06
15,0.10786375917516688,pure,8.42411213799068e-06
16,0.40686161445988145,pure,5.733291620898121e-06
16,0.40686161445988145,pure,5.733291620898121e-06
17,0.5070592571094862,pure,4.03887564205654e-06
17,0.5070592571094862,pure,4.03887564205654e-06
18,0.5597216834120097,pure,6.310003253656788e-06
18,0.5597216834120097,pure,6.310003253656788e-06
19,0.45268739933350044,pure,4.153230801764829e-06
19,0.45268739933350044,pure,4.153230801764829e-06
20,0.3697420623403394,pure,1.2237503640624404e-05
20,0.3697420623403394,pure,1.2237503640624404e-05
21,0.6250612477568422,pure,1.0179535964162942e-05
21,0.6250612477568422,pure,1.0179535964162942e-05
22,0.6796515992415069,pure,4.807701208210965e-06
22,0.6796515992415069,pure,4.807701208210965e-06
23,0.3574492616777225,pure,1.1979921508417436e-05
23,0.3574492616777225,pure,1.1979921508417436e-05
24,0.6341795890461346,pure,3.823470865921621e-06
24,0.6341795890461346,pure,3.823470865921621e-06
25,0.5117030901268715,pure,4.552115468762768e-06
25,0.5117030901268715,pure,4.552115468762768e-06
26,0.7421744324098123,pure,7.236524728486338e-06
26,0.7421744324098123,pure,7.236524728486338e-06
27,0.41178084312330304,pure,2.1954229628671733e-05
27,0.41178084312330304,pure,2.1954229628671733e-05
28,0.3625853975140476,pure,1.3741849674240056e-05
28,0.3625853975140476,pure,1.3741849674240056e-05
29,0.6666870739939341,pure,4.415341230716277e-06
29,0.6666870739939341,pure,4.415341230716277e-06
30,0.38981923876715585,pure,2.6201930725959202e-05
30,0.38981923876715585,pure,2.6201930725959202e-05
31,0.3911739188882619,pure,1.2881061272337463e-05
31,0.3911739188882619,pure,1.2881061272337463e-05
32,0.5179048829880903,pure,1.1672045841215887e-05
32,0.5179048829880903,pure,1.1672045841215887e-05
33,0.5343100867943908,pure,5.410821430469581e-06
33,0.5343100867943908,pure,5.410821430469581e-06
34,0.4687343560315885,pure,5.3969279651923625e-06
34,0.4687343560315885,pure,5.3969279651923625e-06
35,0.4870487123335866,pure,1.4386845784530126e-05
35,0.4870487123335866,pure,1.4386845784530126e-05
36,0.32543092949081737,pure,8.4712482470257e-06
36,0.32543092949081737,pure,8.4712482470257e-06
37,0.6902912888239283,pure,9.470103927518596e-06
37,0.6902912888239283,pure,9.470103927518596e-06
38,0.6328539242021989,pure,1.3388367389742473e-05
38,0.6328539242021989,pure,1.3388367389742473e-05
39,0.5712579554811661,pure,5.083459839682323e-06
39,0.5712579554811661,pure,5.083459839682323e-06
40,0.4355640697769213,pure,8.94364277185884e-06
40,0.4355640697769213,pure,8.94364277185884e-06
41,0.5825806273780421,pure,4.448449623099313e-06
41,0.5825806273780421,pure,4.448449623099313e-06
42,0.368158308277188,pure,7.0934736991362295e-06
42,0.368158308277188,pure,7.0934736991362295e-06
43,0.38783785600352355,pure,1.5630342313038037e-05
43,0.38783785600352355,pure,1.5630342313038037e-05
44,0.635665944730591,pure,9.128849384901079e-06
44,0.635665944730591,pure,9.128849384901079e-06
45,0.7037400838722325,pure,3.0204667291253897e-06
45,0.7037400838722325,pure,3.0204667291253897e-06
46,0.5198495634720579,pure,6.424244185324834e-06
46,0.5198495634720579,pure,6.424244185324834e-06
47,0.4450235084257582,pure,8.92610213336138e-06
47,0.4450235084257582,pure,8.92610213336138e-06
48,0.3551424774476618,pure,5.268443107007017e-06
48,0.3551424774476618,pure,5.268443107007017e-06
49,0.3940337902394626,pure,5.432723539088401e-06
49,0.3940337902394626,pure,5.432723539088401e-06
50,0.5776686968542117,pure,3.6648769462036215e-06
50,0.5776686968542117,pure,3.6648769462036215e-06
51,0.2798634948964099,pure,5.870162720664757e-06
51,0.2798634948964099,pure,5.870162720664757e-06
52,0.7614691240291862,pure,5.1183372264033595e-06
52,0.7614691240291862,pure,5.1183372264033595e-06
53,0.5328679784409827,pure,2.1790862770920544e-06
53,0.5328679784409827,pure,2.1790862770920544e-06
54,0.6220538823315431,pure,2.8733598855220086e-06
54,0.6220538823315431,pure,2.8733598855220086e-06
55,0.611095125430773,pure,3.158567735902668e-05
55,0.611095125430773,pure,3.158567735902668e-05
56,0.6276725788621396,pure,5.217497711861613e-06
56,0.6276725788621396,pure,5.217497711861613e-06
57,0.36673018503535115,pure,1.909295719709247e-05
57,0.36673018503535115,pure,1.909295719709247e-05
58,0.4106472354543123,pure,9.268783972099075e-06
58,0.4106472354543123,pure,9.268783972099075e-06
59,0.2215190389011415,pure,3.407312622825401e-05
59,0.2215190389011415,pure,3.407312622825401e-05
60,0.41683220875935456,pure,1.0842844570864295e-05
60,0.41683220875935456,pure,1.0842844570864295e-05
61,0.4421775060190952,pure,1.873239983986262e-05
61,0.4421775060190952,pure,1.873239983986262e-05
62,0.43948088125556084,pure,6.2033872669325654e-06
62,0.43948088125556084,pure,6.2033872669325654e-06
63,0.4714652566872839,pure,3.806194806908642e-06
63,0.4714652566872839,pure,3.806194806908642e-06
64,0.2894042323865288,pure,8.472646812741127e-06
64,0.2894042323865288,pure,8.472646812741127e-06
65,0.5272757400163905,pure,1.2784222776673212e-05
65,0.5272757400163905,pure,1.2784222776673212e-05
66,0.6111584888492892,pure,8.304475410441946e-06
66,0.6111584888492892,pure,8.304475410441946e-06
67,0.2877894285498265,pure,5.372999546439618e-06
67,0.2877894285498265,pure,5.372999546439618e-06
68,0.4105897488569281,pure,4.429697875284741e-06
68,0.4105897488569281,pure,4.429697875284741e-06
69,0.3522658873062611,pure,6.663156582665573e-06
69,0.3522658873062611,pure,6.663156582665573e-06
70,0.2845773514509671,pure,3.2159983228574784e-06
70,0.2845773514509671,pure,3.2159983228574784e-06
71,0.6010458527651483,pure,6.660109896983012e-06
71,0.6010458527651483,pure,6.660109896983012e-06
72,0.6579897951399012,pure,3.832044409678538e-06
72,0.6579897951399012,pure,3.832044409678538e-06
73,0.48331771518188305,pure,5.757266980052194e-05
73,0.48331771518188305,pure,5.757266980052194e-05
74,0.47493052037876493,pure,8.699540151930277e-06
74,0.47493052037876493,pure,8.699540151930277e-06
75,0.3170662743119014,pure,1.734296531112251e-05
75,0.3170662743119014,pure,1.734296531112251e-05
76,0.6643603254423377,pure,6.985336293665215e-06
76,0.6643603254423377,pure,6.985336293665215e-06
77,0.48317056555651006,pure,3.4465731017880256e-06
77,0.48317056555651006,pure,3.4465731017880256e-06
78,0.6661682386860261,pure,1.6400754523601133e-05
78,0.6661682386860261,pure,1.6400754523601133e-05
79,0.27983011640936384,pure,8.35967722783681e-06
79,0.27983011640936384,pure,8.35967722783681e-06
80,0.5933127857651441,pure,7.593959877401896e-06
80,0.5933127857651441,pure,7.593959877401896e-06
81,0.45045784540076417,pure,4.359004264797706e-06
81,0.45045784540076417,pure,4.359004264797706e-06
82,0.2945550064787261,pure,8.043233294323193e-06
82,0.2945550064787261,pure,8.043233294323193e-06
83,0.5957977232659308,pure,9.251262006625053e-06
83,0.5957977232659308,pure,9.251262006625053e-06
84,0.6410355629161617,pure,1.7110573433055035e-05
84,0.6410355629161617,pure,1.7110573433055035e-05
85,0.29724732240380003,pure,1.0266870014579109e-05
85,0.29724732240380003,pure,1.0266870014579109e-05
86,0.4556072030963667,pure,1.2599732061453509e-05
86,0.4556072030963667,pure,1.2599732061453509e-05
87,0.4074256460740665,pure,1.4766027346505542e-05
87,0.4074256460740665,pure,1.4766027346505542e-05
88,0.40665660903795353,pure,4.453018424975934e-06
