step,opinion_state,control_input,attacker_input
40,[0.22959884 0.14087802 0.26400379 0.15100252],[0.67272762 0.53640422 0.55095964 0.62395608],[0.13196991 0.81021057 0.08144844 0.10340422]
41,[ 0.84470129 -0.00417102  0.3337541   0.26156094],[0.94162258 0.34079379 0.59495091 0.05288608],[0.7283574  0.07954754 0.01823478 0.44396745]
42,[0.44015666 0.18885831 0.03724668 0.73182245],[0.81160264 0.21905746 0.09953537 0.91788524],[0.3183596  0.83561061 0.01936991 0.66201637]
43,[ 0.32839498 -0.33101448  0.48315563  0.25729169],[0.27264365 0.35305931 0.11287006 0.19837546],[0.39453154 0.02148004 0.94427995 0.396877  ]
44,[0.55254892 0.15972251 0.80425938 0.66922019],[0.72485997 0.32492538 0.7476762  0.90240108],[0.46599869 0.30904688 0.625479   0.49728863]
45,[ 0.61990795 -0.39897066  0.80742589  0.54807598],[0.6209359  0.67222925 0.76197285 0.64296536],[0.64909558 0.0010563  0.80800964 0.6559741 ]
46,[0.50418273 0.28151838 0.39963854 0.35057144],[0.68756036 0.73683428 0.3306321  0.36676811],[0.46975438 0.53031342 0.38523663 0.48209832]
47,[0.37973338 0.0362246  0.34613653 0.17236848],[0.77892951 0.83394862 0.6803458  0.39990978],[0.260019   0.0725827  0.01951971 0.1854577 ]
48,[0.87044695 0.50352579 0.77682632 0.61752836],[0.43255848 0.4796891  0.86256445 0.75156033],[0.94252895 0.68159844 0.51905744 0.53814012]
49,[ 0.86524319 -0.03831829  0.52598864  0.23922922],[0.72410701 0.8110732  0.7993756  0.23911842],[0.91853214 0.62760388 0.32551292 0.53805353]
50,[0.79794137 0.55115699 0.50856025 0.48852616],[0.88787965 0.78168796 0.81294335 0.74646056],[0.72756901 0.84298815 0.08388131 0.44463058]
51,[0.27208451 0.02196734 0.00599042 0.44827199],[0.32686544 0.96067035 0.05061851 0.1472796 ],[0.31648046 0.35570805 0.18615457 0.8426582 ]
52,[0.43627831 0.75206072 0.0161748  0.31396449],[0.9349707  0.85326866 0.10242486 0.46516659],[0.25990156 0.57806456 0.00407697 0.23857224]
53,[ 0.8715947  -0.29897809  0.39187382 -0.00094557],[0.68564634 0.37123248 0.65240655 0.20229745],[0.87172967 0.05145263 0.2359581  0.04315215]
54,[ 0.43394859 -0.01279572  1.09543881  0.57034233],[0.10361453 0.21509387 0.90031131 0.67472082],[0.52613253 0.36052486 0.96408308 0.53892116]
55,[ 0.56216168 -0.27222509  1.02843433  0.51614921],[0.28409072 0.41083669 0.94907957 0.21909327],[0.68846164 0.32667197 0.94858784 0.87810839]
56,[0.7860163  0.45037644 0.65043742 0.01176696],[0.58164585 0.65609311 0.44083893 0.35516619],[0.8493673  0.91442082 0.74889186 0.03610738]
57,[ 0.35136269 -0.00509929  1.02999638  0.21479448],[0.41249855 0.3675146  0.98354286 0.53071706],[0.33765772 0.62075088 0.92903463 0.22795141]
58,[ 0.81376346 -0.09426272  0.76773744  0.06473805],[0.88813782 0.10841419 0.96560884 0.4677703 ],[0.74374633 0.56000679 0.38820524 0.01621756]
59,[0.35166109 0.10998068 0.24237761 0.81375141],[0.68746327 0.18545302 0.10330252 0.72864072],[0.246805   0.79370283 0.33906186 0.9335428 ]
60,[0.82348854 0.38173096 0.66388267 0.82918452],[0.56255144 0.37856427 0.77143177 0.78876433],[0.90247742 0.93587959 0.54028775 0.86637656]
61,[0.66111677 0.02302541 0.69077146 0.23977124],[0.93108238 0.59770465 0.69557237 0.40520394],[0.61603869 0.8833288  0.75120042 0.41551272]
62,[0.63472923 0.35483098 0.61931138 0.69916174],[0.54219779 0.9439251  0.47949932 0.54619168],[0.64885726 0.42254989 0.67005981 0.88017162]
63,[ 0.64428443 -0.55647879  0.76990781  0.57715027],[0.93663717 0.29835262 0.63144009 0.51055056],[0.57245476 0.21627351 0.93565375 0.78989599]
64,[0.90302176 0.08193494 0.93770316 0.78247963],[0.81635664 0.21701915 0.84457053 0.69085028],[0.90639511 0.70337664 0.77331718 0.88368139]
65,[ 0.22653329 -0.28017209  0.20954013  0.08527881],[0.26245418 0.81784915 0.00789866 0.52096894],[0.32506451 0.31577189 0.55335937 0.13267593]
66,[0.82491821 0.83622889 0.63056385 0.51923492],[0.35790563 0.43802061 0.14378842 0.63809479],[0.89052294 0.8000029  0.95562258 0.3840089 ]
67,[ 0.30017711 -0.41924128  0.7652077   0.62159977],[0.05546239 0.23030349 0.83673771 0.9359834 ],[0.45519591 0.68217644 0.7841238  0.64933754]
68,[ 0.60603827 -0.03477381  0.53708879  0.71690635],[0.07571641 0.20740062 0.626467   0.7906156 ],[0.79688678 0.43703614 0.31163769 0.69783624]
69,[0.09673964 0.54649261 0.95239993 0.5330442 ],[0.20450467 0.93816504 0.87472049 0.53700564],[0.15686614 0.79853489 0.91199419 0.65134948]
70,[0.57086435 0.62496802 0.87560968 0.75898095],[0.48670624 0.99600723 0.94050841 0.58738626],[0.61674213 0.8658384  0.79480978 0.98795846]
71,[ 0.13181102 -0.08170873  0.2521364   0.37213969],[0.72600477 0.46782258 0.48656269 0.0559113 ],[0.0433996  0.8766425  0.21702732 0.84690661]
72,[0.19791545 0.72010976 0.38305932 0.74910345],[0.80682643 0.9846468  0.09377843 0.46890021],[0.01114383 0.35387692 0.65041716 0.86482436]
73,[ 0.55540407 -0.11838755  0.38228283  0.52558732],[0.39718468 0.5235985  0.79653059 0.69647948],[0.63724458 0.37257669 0.12376999 0.5485791 ]
74,[ 0.62607516 -0.50648645  0.71898846  0.60117181],[0.32830183 0.08150649 0.66189379 0.88471841],[0.72468727 0.02861265 0.66405496 0.47312741]
